gadget_name,function
Anywhere Door,Teleports user to any location instantly
Anywhere Door,Teleports users to any positioning instantly
Anywhere Door,Teleports users to any location instantly
Anywhere Door,Teleports users to any location right away
Anywhere Door,Teleports exploiter to any location instantly
Hopter,Propeller for personal flying
Hopter,propellor for personal flight
Hopter,Propeller for personal flight of steps
Hopter,propeller for personal flight
Hopter,Propeller for personal flight
Time Machine,locomotion through time
Time Machine,change of location through time
Time Machine,Travels through sentence
Time Machine,Travels through time
Time Machine,travel through time
Memory Bread,Absorbs text when pressed on book Thomas Nelson Page
Memory Bread,Absorbs text edition when pressed on book pages
Memory Bread,Absorbs textbook when pressed on book pages
Memory Bread,Absorbs text when pressed on book pages
Memory Bread,Absorbs text when contract on book pages
Air Cannon,shoot compressed air as a weapon
Air Cannon,Shoots contract air as a weapon
Air Cannon,Shoots compress air as a weapon
Air Cannon,Shoots compressed air as a weapon
Air Cannon,Shoots compact air as a weapon
Translation Gummy,Translates any terminology
Translation Gummy,understand any language
Translation Gummy,Translates any language
Translation Gummy,transform any language
Translation Gummy,Translates any speech
Time Kerchief,Repairs or reverts objects when wrapped
Time Kerchief,Repairs or reverts aim when wrapped
Time Kerchief,Repairs or reverts objects when wrap up
Time Kerchief,Repairs or reverts objects when enwrap
Time Kerchief,Repairs or reverts target when wrapped
Pass Loop,walkway through walls
Pass Loop,Walk through rampart
Pass Loop,Walk through walls
Pass Loop,Walk through paries
Pass Loop,Walk through bulwark
Shock Gun,military force target to obey commands
Shock Gun,Forces target to obey bid
Shock Gun,Forces target to obey control
Shock Gun,Forces butt to obey commands
Shock Gun,Forces target to obey commands
Cloud Solidifier,Turns clouds into strong platforms
Cloud Solidifier,Turns mist into solid platforms
Cloud Solidifier,Turns dapple into solid platforms
Cloud Solidifier,Turns clouds into solid chopine
Cloud Solidifier,Turns clouds into solid platforms
Small Light,head-shrinker objects/people
Small Light,psychiatrist objects/people
Small Light,shrink objects/people
Small Light,Shrinks objects/people
Big Light,Enlarges objects/people
Time TV,lookout man past/future events
Time TV,Watches past/future events
Time TV,Watches past/future consequence
Time TV,vigil past/future events
Time TV,Watches past/future outcome
Human Repellent Spray,Makes user invisible to multitude
Human Repellent Spray,Makes user invisible to people
Human Repellent Spray,Makes exploiter invisible to people
Human Repellent Spray,Makes user unseeable to people
Human Repellent Spray,shuffle user invisible to people
Gulliver Tunnel,Shrinks/grows objects passing through
Gulliver Tunnel,Shrinks/grows objects occur through
Gulliver Tunnel,Shrinks/grows objects pass through
Gulliver Tunnel,Shrinks/grows object passing through
Gulliver Tunnel,Shrinks/grows objects overstep through
Come Here Catcher,Teleports objects to user
Come Here Catcher,Teleports target to user
Come Here Catcher,Teleports aim to user
Come Here Catcher,Teleports physical object to user
Come Here Catcher,Teleports object to user
3D Projector Mirror,Creates lifelike holograph
3D Projector Mirror,Creates lifelike hologram
3D Projector Mirror,Creates lifelike holograms
Sound Camera,Captures and replays sounds
Sound Camera,Captures and action replay sounds
